symptoms,symptom_text,solution
hypertension,Stress nala enakku hypertension aagudhu,"Hypertension irundhaal, steam inhale pannunga hot drinks kudikkavum"
low bp,Nethu night la low bp vandhuduchu,"Low bp irundhaal, steam inhale pannunga hot drinks kudikkavum"
asthma,Romba naal ah asthma varudhu,"Asthma irundhaal, water kudikkavum rest pannunga"
migraine,Stress nala enakku migraine aagudhu,"Migraine irundhaal, doctor advice follow pannunga"
sinus problem,Enakku innaiku sinus problem irukku,"Sinus problem irundhaal, steam inhale pannunga hot drinks kudikkavum"
dry skin,Nethu night la dry skin vandhuduchu,"Dry skin irundhaal, water kudikkavum rest pannunga"
chest pain,Kaalai la chest pain start aagudhu,"Chest pain irundhaal, tablet eduthukkonga doctor consult pannunga"
palpitation,Office work nala palpitation varudhu,"Palpitation irundhaal, affected area clean pannunga"
sweating,Romba naal ah sweating varudhu,"Sweating irundhaal, doctor advice follow pannunga"
shortness of breath,Stress nala enakku shortness of breath aagudhu,"Shortness of breath irundhaal, light food sapdunga heavy food avoid pannunga"
sunstroke,Romba naal ah sunstroke varudhu,"Sunstroke irundhaal, steam inhale pannunga hot drinks kudikkavum"
dehydration,Romba naal ah dehydration varudhu,"Dehydration irundhaal, water kudikkavum rest pannunga"
muscle cramp,Enakku innaiku muscle cramp irukku,"Muscle cramp irundhaal, steam inhale pannunga hot drinks kudikkavum"
joint pain,Romba naal ah joint pain varudhu,"Joint pain irundhaal, tablet eduthukkonga doctor consult pannunga"
leg pain,Nethu night la leg pain vandhuduchu,"Leg pain irundhaal, tablet eduthukkonga doctor consult pannunga"
arm pain,Sudden ah arm pain vanthuruchu,"Arm pain irundhaal, home remedy try pannunga"
neck pain,Stress nala enakku neck pain aagudhu,"Neck pain irundhaal, home remedy try pannunga"
shoulder pain,Enakku innaiku shoulder pain irukku,"Shoulder pain irundhaal, doctor advice follow pannunga"
knee pain,Nethu night la knee pain vandhuduchu,"Knee pain irundhaal, steam inhale pannunga hot drinks kudikkavum"
ankle pain,Romba naal ah ankle pain varudhu,"Ankle pain irundhaal, steam inhale pannunga hot drinks kudikkavum"
burn injury,Sudden ah burn injury vanthuruchu,"Burn injury irundhaal, affected area clean pannunga"
wound,Sudden ah wound vanthuruchu,"Wound irundhaal, steam inhale pannunga hot drinks kudikkavum"
ulcer,Stress nala enakku ulcer aagudhu,"Ulcer irundhaal, steam inhale pannunga hot drinks kudikkavum"
indigestion,Nethu night la indigestion vandhuduchu,"Indigestion irundhaal, water kudikkavum rest pannunga"
food poisoning,Sudden ah food poisoning vanthuruchu,"Food poisoning irundhaal, water kudikkavum rest pannunga"
fatigue,Romba naal ah fatigue varudhu,"Fatigue irundhaal, water kudikkavum rest pannunga"
weakness,Kaalai la weakness start aagudhu,"Weakness irundhaal, affected area clean pannunga"
blurred vision,Sudden ah blurred vision vanthuruchu,"Blurred vision irundhaal, steam inhale pannunga hot drinks kudikkavum"
eye redness,Romba naal ah eye redness varudhu,"Eye redness irundhaal, home remedy try pannunga"
itchy eyes,Kaalai la itchy eyes start aagudhu,"Itchy eyes irundhaal, tablet eduthukkonga doctor consult pannunga"
ear discharge,Nethu night la ear discharge vandhuduchu,"Ear discharge irundhaal, affected area clean pannunga"
hearing loss,Office work nala hearing loss varudhu,"Hearing loss irundhaal, doctor advice follow pannunga"
sore throat,Sudden ah sore throat vanthuruchu,"Sore throat irundhaal, light food sapdunga heavy food avoid pannunga"
tonsil pain,Office work nala tonsil pain varudhu,"Tonsil pain irundhaal, affected area clean pannunga"
mouth ulcer,Romba naal ah mouth ulcer varudhu,"Mouth ulcer irundhaal, light food sapdunga heavy food avoid pannunga"
gum pain,Romba naal ah gum pain varudhu,"Gum pain irundhaal, water kudikkavum rest pannunga"
bad breath,Office work nala bad breath varudhu,"Bad breath irundhaal, tablet eduthukkonga doctor consult pannunga"
nose block,Romba naal ah nose block varudhu,"Nose block irundhaal, water kudikkavum rest pannunga"
sneezing,Romba naal ah sneezing varudhu,"Sneezing irundhaal, affected area clean pannunga"
runny nose,Office work nala runny nose varudhu,"Runny nose irundhaal, doctor advice follow pannunga"
chest congestion,Office work nala chest congestion varudhu,"Chest congestion irundhaal, tablet eduthukkonga doctor consult pannunga"
phlegm,Stress nala enakku phlegm aagudhu,"Phlegm irundhaal, light food sapdunga heavy food avoid pannunga"
wheezing,Nethu night la wheezing vandhuduchu,"Wheezing irundhaal, steam inhale pannunga hot drinks kudikkavum"
sleep apnea,Romba naal ah sleep apnea varudhu,"Sleep apnea irundhaal, tablet eduthukkonga doctor consult pannunga"
snoring,Nethu night la snoring vandhuduchu,"Snoring irundhaal, steam inhale pannunga hot drinks kudikkavum"
heartburn,Stress nala enakku heartburn aagudhu,"Heartburn irundhaal, light food sapdunga heavy food avoid pannunga"
urinary infection,Kaalai la urinary infection start aagudhu,"Urinary infection irundhaal, doctor advice follow pannunga"
burning urination,Romba naal ah burning urination varudhu,"Burning urination irundhaal, water kudikkavum rest pannunga"
kidney pain,Nethu night la kidney pain vandhuduchu,"Kidney pain irundhaal, light food sapdunga heavy food avoid pannunga"
liver pain,Nethu night la liver pain vandhuduchu,"Liver pain irundhaal, doctor advice follow pannunga"
appendix pain,Romba naal ah appendix pain varudhu,"Appendix pain irundhaal, doctor advice follow pannunga"
menstrual pain,Kaalai la menstrual pain start aagudhu,"Menstrual pain irundhaal, steam inhale pannunga hot drinks kudikkavum"
irregular periods,Kaalai la irregular periods start aagudhu,"Irregular periods irundhaal, light food sapdunga heavy food avoid pannunga"
pregnancy nausea,Stress nala enakku pregnancy nausea aagudhu,"Pregnancy nausea irundhaal, light food sapdunga heavy food avoid pannunga"
morning sickness,Enakku innaiku morning sickness irukku,"Morning sickness irundhaal, light food sapdunga heavy food avoid pannunga"
pimples,Enakku innaiku pimples irukku,"Pimples irundhaal, water kudikkavum rest pannunga"
acne,Kaalai la acne start aagudhu,"Acne irundhaal, doctor advice follow pannunga"
dark circles,Kaalai la dark circles start aagudhu,"Dark circles irundhaal, steam inhale pannunga hot drinks kudikkavum"
tiredness,Enakku innaiku tiredness irukku,"Tiredness irundhaal, affected area clean pannunga"
fainting,Stress nala enakku fainting aagudhu,"Fainting irundhaal, home remedy try pannunga"
hand tremor,Romba naal ah hand tremor varudhu,"Hand tremor irundhaal, water kudikkavum rest pannunga"
shivering,Enakku innaiku shivering irukku,"Shivering irundhaal, doctor advice follow pannunga"
cold feet,Kaalai la cold feet start aagudhu,"Cold feet irundhaal, affected area clean pannunga"
swelling leg,Nethu night la swelling leg vandhuduchu,"Swelling leg irundhaal, steam inhale pannunga hot drinks kudikkavum"
water retention,Nethu night la water retention vandhuduchu,"Water retention irundhaal, affected area clean pannunga"
giddiness,Office work nala giddiness varudhu,"Giddiness irundhaal, light food sapdunga heavy food avoid pannunga"
low sugar,Stress nala enakku low sugar aagudhu,"Low sugar irundhaal, affected area clean pannunga"
high sugar,Stress nala enakku high sugar aagudhu,"High sugar irundhaal, affected area clean pannunga"
numbness,Stress nala enakku numbness aagudhu,"Numbness irundhaal, affected area clean pannunga"
tingling,Stress nala enakku tingling aagudhu,"Tingling irundhaal, affected area clean pannunga"
skin dryness,Sudden ah skin dryness vanthuruchu,"Skin dryness irundhaal, water kudikkavum rest pannunga"
skin peeling,Sudden ah skin peeling vanthuruchu,"Skin peeling irundhaal, tablet eduthukkonga doctor consult pannunga"
skin itching,Sudden ah skin itching vanthuruchu,"Skin itching irundhaal, steam inhale pannunga hot drinks kudikkavum"
mosquito bite,Romba naal ah mosquito bite varudhu,"Mosquito bite irundhaal, affected area clean pannunga"
insect bite,Office work nala insect bite varudhu,"Insect bite irundhaal, doctor advice follow pannunga"
dog bite,Nethu night la dog bite vandhuduchu,"Dog bite irundhaal, water kudikkavum rest pannunga"
cat bite,Nethu night la cat bite vandhuduchu,"Cat bite irundhaal, steam inhale pannunga hot drinks kudikkavum"
allergic cough,Romba naal ah allergic cough varudhu,"Allergic cough irundhaal, doctor advice follow pannunga"
seasonal fever,Stress nala enakku seasonal fever aagudhu,"Seasonal fever irundhaal, affected area clean pannunga"
flu,Romba naal ah flu varudhu,"Flu irundhaal, affected area clean pannunga"
typhoid,Office work nala typhoid varudhu,"Typhoid irundhaal, water kudikkavum rest pannunga"
jaundice,Romba naal ah jaundice varudhu,"Jaundice irundhaal, affected area clean pannunga"
malaria,Romba naal ah malaria varudhu,"Malaria irundhaal, affected area clean pannunga"
dengue,Stress nala enakku dengue aagudhu,"Dengue irundhaal, doctor advice follow pannunga"
chikungunya,Romba naal ah chikungunya varudhu,"Chikungunya irundhaal, light food sapdunga heavy food avoid pannunga"
cholera,Romba naal ah cholera varudhu,"Cholera irundhaal, water kudikkavum rest pannunga"
pneumonia,Sudden ah pneumonia vanthuruchu,"Pneumonia irundhaal, tablet eduthukkonga doctor consult pannunga"
covid,Stress nala enakku covid aagudhu,"Covid irundhaal, affected area clean pannunga"
breathlessness,Office work nala breathlessness varudhu,"Breathlessness irundhaal, home remedy try pannunga"
loss of smell,Kaalai la loss of smell start aagudhu,"Loss of smell irundhaal, doctor advice follow pannunga"
loss of taste,Stress nala enakku loss of taste aagudhu,"Loss of taste irundhaal, light food sapdunga heavy food avoid pannunga"
high cholesterol,Enakku innaiku high cholesterol irukku,"High cholesterol irundhaal, affected area clean pannunga"
gout,Nethu night la gout vandhuduchu,"Gout irundhaal, tablet eduthukkonga doctor consult pannunga"
arthritis,Romba naal ah arthritis varudhu,"Arthritis irundhaal, steam inhale pannunga hot drinks kudikkavum"
rheumatism,Nethu night la rheumatism vandhuduchu,"Rheumatism irundhaal, water kudikkavum rest pannunga"
thyroid,Stress nala enakku thyroid aagudhu,"Thyroid irundhaal, steam inhale pannunga hot drinks kudikkavum"
pcos,Office work nala pcos varudhu,"Pcos irundhaal, home remedy try pannunga"
infertility,Stress nala enakku infertility aagudhu,"Infertility irundhaal, home remedy try pannunga"
heat boils,Office work nala heat boils varudhu,"Heat boils irundhaal, water kudikkavum rest pannunga"
eye strain,Office work nala eye strain varudhu,"Eye strain irundhaal, tablet eduthukkonga doctor consult pannunga"
laziness,Romba naal ah laziness varudhu,"Laziness irundhaal, doctor advice follow pannunga"
low appetite,Romba naal ah low appetite varudhu,"Low appetite irundhaal, water kudikkavum rest pannunga"
overeating,Romba naal ah overeating varudhu,"Overeating irundhaal, light food sapdunga heavy food avoid pannunga"
thirst,Enakku innaiku thirst irukku,"Thirst irundhaal, steam inhale pannunga hot drinks kudikkavum"
night sweats,Kaalai la night sweats start aagudhu,"Night sweats irundhaal, water kudikkavum rest pannunga"
frequent urination,Romba naal ah frequent urination varudhu,"Frequent urination irundhaal, affected area clean pannunga"
bed wetting,Stress nala enakku bed wetting aagudhu,"Bed wetting irundhaal, water kudikkavum rest pannunga"
back stiffness,Office work nala back stiffness varudhu,"Back stiffness irundhaal, light food sapdunga heavy food avoid pannunga"
frozen shoulder,Nethu night la frozen shoulder vandhuduchu,"Frozen shoulder irundhaal, light food sapdunga heavy food avoid pannunga"
finger pain,Office work nala finger pain varudhu,"Finger pain irundhaal, affected area clean pannunga"
hand pain,Romba naal ah hand pain varudhu,"Hand pain irundhaal, doctor advice follow pannunga"
heel pain,Nethu night la heel pain vandhuduchu,"Heel pain irundhaal, tablet eduthukkonga doctor consult pannunga"
skin burn,Sudden ah skin burn vanthuruchu,"Skin burn irundhaal, light food sapdunga heavy food avoid pannunga"
ear ringing,Enakku innaiku ear ringing irukku,"Ear ringing irundhaal, home remedy try pannunga"
eye dryness,Enakku innaiku eye dryness irukku,"Eye dryness irundhaal, affected area clean pannunga"
eye twitching,Enakku innaiku eye twitching irukku,"Eye twitching irundhaal, steam inhale pannunga hot drinks kudikkavum"
speech problem,Kaalai la speech problem start aagudhu,"Speech problem irundhaal, steam inhale pannunga hot drinks kudikkavum"
memory loss,Sudden ah memory loss vanthuruchu,"Memory loss irundhaal, water kudikkavum rest pannunga"
confusion,Sudden ah confusion vanthuruchu,"Confusion irundhaal, doctor advice follow pannunga"
low immunity,Office work nala low immunity varudhu,"Low immunity irundhaal, steam inhale pannunga hot drinks kudikkavum"
slow healing,Stress nala enakku slow healing aagudhu,"Slow healing irundhaal, affected area clean pannunga"
nail pain,Kaalai la nail pain start aagudhu,"Nail pain irundhaal, doctor advice follow pannunga"
hair dandruff,Nethu night la hair dandruff vandhuduchu,"Hair dandruff irundhaal, tablet eduthukkonga doctor consult pannunga"
scalp itching,Nethu night la scalp itching vandhuduchu,"Scalp itching irundhaal, water kudikkavum rest pannunga"
body shivering,Enakku innaiku body shivering irukku,"Body shivering irundhaal, tablet eduthukkonga doctor consult pannunga"
over sweating,Kaalai la over sweating start aagudhu,"Over sweating irundhaal, tablet eduthukkonga doctor consult pannunga"
frequent cold,Enakku innaiku frequent cold irukku,"Frequent cold irundhaal, home remedy try pannunga"
